name,age,min_age,max_age,slat,slon,N,K,A95,plat,plon,mdec,minc,plateID,lithology,f,p_std
2536,65.5,63,68,13.30,76.00,52,17.40,22.70,43.00,258.00,358.00,-51.00,,,,
2537,1700,900,2500,12.70,77.50,4,50.00,10.00,34.00,55.00,141.00,-75.00,,,,
6047,2365,2140,2590,12.70,77.50,22,30.00,17.10,-13.40,254.40,112.10,-88.70,,,,
6048,823,808,838,12.70,77.50,11,999.90,5.70,-24.70,264.10,26.90,83.00,,,,
6562,823,808,838,12.60,77.50,60,32.10,9.20,27.30,78.90,4.90,82.50,,,,
6240,1675,1650,1700,12.30,75.20,13,103.00,24.80,50.90,130.50,217.20,-50.00,,,,
772,1850,1600,2100,12.10,79.80,26,400.00,5.00,-1.00,189.00,86.00,-35.00,,,,
772,1850,1600,2100,12.10,79.10,7,18.00,23.00,13.00,311.00,294.00,-52.00,,,,
6239,1950,1630,2270,12.10,79.10,38,42.00,9.40,-17.80,235.20,106.90,-77.60,,,,
772,1850,1600,2100,12.10,79.00,33,134.00,6.00,31.00,54.00,133.00,-75.00,,,,
6238,1750,1700,1800,12.10,78.00,35,51.20,10.80,82.50,259.50,359.80,9.20,,,,
772,1850,1600,2100,11.60,78.50,24,21.00,18.00,38.00,220.00,33.00,-48.00,,,,
6237,2370,1970,2770,11.20,76.80,10,94.00,26.10,75.70,153.20,13.90,27.00,,,,
7412,1050,1000,1100,10.50,77.70,153,51.40,7.20,9.70,1.70,97.30,-28.80,,,,
7412,550,500,600,10.50,77.70,18,63.40,4.40,-45.20,23.00,36.70,-29.40,,,,
718,2600,2200,3000,10.20,77.50,10,143.10,4.10,34.90,150.50,236.40,-35.60,,,,
5720,69,68,70,9.70,76.70,39,58.00,10.10,34.60,274.00,163.00,61.00,,,,
5721,81,78,84,9.70,76.70,21,107.00,12.00,21.60,299.40,307.00,-57.00,,,,
