DATE      ,TIME       ,LAT     ,LON      ,DEPTH,MAG,,,,,,,,,,,,,,,,
1967-12-19,23:52.8,37.4108,71.8621,109.7,5,,,,,,,,,,,,,,,,
1968-01-05,42:49.1,30.3694,79.2792,24,5,,,,,,,,,,,,,,,,
1968-01-31,45:17.8,29.7198,92.2001,12.6,5.2,,,,,,,,,,,,,,,,
1968-02-10,03:05.3,34.0938,78.512,35,5.1,,,,,,,,,,,,,,,,
1968-02-11,25:02.9,34.2293,78.4943,35,4.7,,,,,,,,,,,,,,,,
1968-02-11,38:26.7,34.1038,78.6915,11.1,5.1,,,,,,,,,,,,,,,,
1968-03-03,31:21.7,34.7413,72.3854,28.8,5,,,,,,,,,,,,,,,,
1968-05-08,45:08.0,37.1389,71.883,142.3,5.1,,,,,,,,,,,,,,,,
1968-05-27,35:57.9,29.6164,80.5117,19,5.1,,,,,,,,,,,,,,,,
1968-05-31,01:35.7,29.9754,79.8605,16,5.1,,,,,,,,,,,,,,,,
1968-06-17,26:54.7,37.3986,72.2533,176,4.8,,,,,,,,,,,,,,,,
1968-09-15,16:57.1,37.1273,72.5892,35,4.9,,,,,,,,,,,,,,,,
1968-10-19,33:25.2,37.3755,73.0836,12.8,5,,,,,,,,,,,,,,,,
1968-10-19,01:30.9,37.251,73.1099,18.2,5.2,,,,,,,,,,,,,,,,
1968-10-19,52:02.2,37.4278,73.2046,11.9,5.2,,,,,,,,,,,,,,,,
1968-10-28,48:29.4,27.6128,86.0925,19,4.8,,,,,,,,,,,,,,,,
1968-10-30,07:25.4,37.312,73.1034,35,5.2,,,,,,,,,,,,,,,,
1968-11-05,02:43.3,32.2765,76.448,14,4.9,,,,,,,,,,,,,,,,
1968-11-18,49:04.2,26.8244,92.7108,46.2,4.5,,,,,,,,,,,,,,,,
1969-03-03,20:22.1,29.9376,79.8801,19.6,5.1,,,,,,,,,,,,,,,,
1969-06-22,33:24.3,30.4377,79.3621,16.8,5.4,,,,,,,,,,,,,,,,
1969-06-30,51:57.2,26.7967,92.6629,58.4,5,,,,,,,,,,,,,,,,
1969-08-26,23:13.6,37.2529,72.8253,4.2,4.9,,,,,,,,,,,,,,,,
1969-10-22,33:24.4,28.9109,95.3144,40,4.6,,,,,,,,,,,,,,,,
1969-11-05,25:18.4,27.497,89.981,35,5.1,,,,,,,,,,,,,,,,
1969-12-05,45:15.6,29.007,80.9907,35,4.9,,,,,,,,,,,,,,,,
1969-12-29,09:06.1,36.8695,71.8643,142,4.6,,,,,,,,,,,,,,,,
1970-01-17,33:02.4,32.5854,76.5469,14,4.8,,,,,,,,,,,,,,,,
1970-01-23,55:10.1,37.2756,71.9875,130,4.6,,,,,,,,,,,,,,,,
1970-02-12,51:48.8,29.1351,81.6066,19.6,5.2,,,,,,,,,,,,,,,,
1970-02-19,10:02.7,27.4384,93.912,12.8,5.5,,,,,,,,,,,,,,,,
1970-02-26,30:07.4,27.6028,85.8968,19,5.2,,,,,,,,,,,,,,,,
1970-02-26,21:20.3,27.1975,85.7833,10,4.8,,,,,,,,,,,,,,,,
1970-03-05,34:20.6,32.3233,76.5463,14,4.8,,,,,,,,,,,,,,,,
1970-04-30,24:53.4,33.2321,73.4366,16,4.8,,,,,,,,,,,,,,,,
1970-07-21,37:43.1,27.9666,84.7519,12,5,,,,,,,,,,,,,,,,
1970-07-26,30:41.0,35.1414,72.5109,35,4.6,,,,,,,,,,,,,,,,
1970-08-11,06:20.1,34.1915,79.4465,35,4.7,,,,,,,,,,,,,,,,
1971-01-30,15:37.9,30.371,79.2156,24,4.8,,,,,,,,,,,,,,,,
1971-04-28,12:41.7,34.371,73.5837,22,4.9,,,,,,,,,,,,,,,,
1971-09-26,59:51.5,36.0948,72.8641,26,4.8,,,,,,,,,,,,,,,,
1971-10-15,22:13.6,37.0484,71.8273,160.4,4.9,,,,,,,,,,,,,,,,
1971-10-24,59:05.3,28.1547,87.1952,35,4.7,,,,,,,,,,,,,,,,
