DATE      	TIME       	LAT     	LON      	DEPTH	MAG
1974-06-25	47:34.0	31.3777	73.125	10	4.4
1974-07-05	17:50.0	37.3897	72.368	10	5.1
1974-08-01	54:14.0	33.7357	75.7744	10	4.5
1974-08-04	26:00.2	37.2482	72.1878	217.8	4.4
1974-08-11	21:04.6	35.6022	73.0874	21	4.2
1974-09-09	19:47.8	35.9583	73.5082	48	4.6
1974-09-21	07:11.2	37.4522	71.8838	130	4.7
1974-11-06	57:04.5	37.4024	72.7864	180	4.4
1974-11-13	21:22.6	36.0968	73.0091	26	4.7
1974-12-18	26:12.2	37.1307	72.9159	42	4.3
1974-12-28	11:46.4	35.0577	72.9833	28.9	6
1974-12-28	46:11.8	35.3683	73.0952	37	4.9
1974-12-28	02:33.6	35.1328	72.8068	24	4.2
1974-12-28	28:17.7	35.0201	73.0053	24	5
1974-12-28	38:50.7	35.0644	73.004	24	4.8
1975-01-10	01:00.9	37.0576	72.0684	142	4.5
1975-01-20	27:58.3	34.9831	73.0085	24	4.7
1975-02-01	16:47.3	35.8079	73.0735	26	4.9
1975-03-23	19:35.2	35.5513	74.7988	25	5
1975-03-31	02:33.9	37.175	71.9163	142	4.6
1975-04-07	41:01.5	34.8851	72.9096	24	4.9
1975-04-23	07:24.7	35.8122	73.583	48	4.8
1975-05-07	22:39.4	37.1011	72.0774	250	3.9
1975-05-10	34:39.3	35.0793	73.0379	24	4.5
1975-06-22	24:06.5	37.1145	71.8282	142	3.9
1975-08-15	06:47.6	35.3906	74.3668	53.2	4.3
1975-08-22	46:56.2	37.2771	72.0068	130	4.7
1975-10-17	46:06.3	34.441	74.1758	26	4.3
1975-10-30	20:49.9	32.8684	75.7874	10	5.2
1975-10-30	36:44.1	32.9205	75.8865	28	5.2
1975-12-27	47:48.5	36.7553	71.8613	250	4.4
1976-01-27	23:20.9	32.9786	75.9677	28	4.9
1976-02-25	45:25.8	33.052	74.6262	50	4.5
1976-03-11	51:31.7	36.7029	74.3389	25.4	4.9
1976-03-22	15:29.9	35.9276	73.5795	48	5
1976-07-29	59:15.3	37.0749	72.2159	142	4
1976-08-01	34:29.7	36.8385	72.0538	142	4.6
1976-12-19	45:29.8	37.4624	72.3878	176	4.7
1977-01-21	57:43.6	32.8813	75.9424	10	4.6
1977-02-14	22:37.7	33.5787	73.2683	16.5	5.2
1977-03-16	52:25.3	35.9232	73.8151	35	4.6
1977-06-11	44:32.7	37.4269	71.9406	130	4.7
1977-07-04	01:58.8	37.3273	71.9849	147.8	4.7
1977-10-13	38:53.7	37.2158	72.0526	142	4.5
1978-02-23	01:28.7	33.4174	75.9	26	5
1978-04-27	12:23.4	35.0355	72.9698	24	5.1
1978-05-07	32:25.8	33.3891	73.6487	16	5
1978-05-16	31:51.6	33.2722	75.222	10	4.4
1978-05-30	10:49.7	37.3075	72.0902	210	3.9
1978-06-21	45:06.7	36.0684	73.4021	35	4.4
1978-07-05	48:09.6	37.4075	72.2223	130	4.4
1978-11-18	35:01.4	32.9259	72.751	35	4.8
1978-12-02	01:36.0	37.2437	72.5622	150	4.5
1978-12-04	20:53.5	37.3333	72.4578	100	4.2
1978-12-28	51:53.3	37.1269	73.7917	90.4	4.8
1979-01-20	11:55.9	37.1788	71.8951	200	4.6
1979-02-16	23:45.0	37.0012	72.0747	142	4.3
1979-03-04	51:47.5	33.9563	73.2451	22	4.8
1979-03-17	36:59.0	35.8132	73.1124	26	4.6
1979-07-02	27:01.6	34.65	74.606	35	4.5
1979-07-02	30:45.6	34.6364	74.4878	35	4.7
1979-09-04	28:24.0	35.4939	72.203	68	4.3
1979-12-05	42:25.8	37.4167	72.0478	130	4.8
1979-12-22	28:47.9	33.0471	75.873	30.1	4.8
1980-01-18	59:04.6	36.6418	72.7625	42	4.3
1980-02-09	23:03.8	32.8003	72.5494	35	4.1
1980-03-12	09:14.9	36.5251	72.0698	35	4.4
1980-03-29	02:57.5	32.7528	73.9396	35	4.8
1980-05-01	43:12.9	32.9729	75.8878	26.3	4.9
1980-05-09	16:29:25	37.3764	72.2812	150	4
1980-05-15	34:36.5	37.1219	71.9175	14.3	4.6
1980-06-25	53:40.0	37.425	72.3633	176	4.5
1980-07-10	32:37.4	35.6859	72.026	30.4	4.7
1980-08-23	36:51.4	32.9862	75.7705	12.4	5.2
1980-08-23	50:02.5	32.9156	75.7221	16.4	5.2
1980-09-06	03:19.1	37.1938	71.9663	10	4.5
1980-10-05	47:20.5	34.7054	74.2756	35	4.2
1981-01-04	14:44.9	37.2308	72.2191	10	4.4
1981-01-04	33:37.6	37.2127	71.8791	100	5
1981-01-31	41:57.6	35.2958	73.114	40	4.8
1981-02-04	33:18.1	37.4346	72.6728	120	4.5
1981-02-18	35:15.7	35.1417	72.3825	35	4.8
1981-03-03	43:29.4	31.3862	73.1992	37.9	5.2
1981-04-05	01:23.7	36.6605	73.4507	35	3.9
1981-04-14	01:16.9	37.2622	72.1496	130	4.5
1981-04-19	24:00.0	36.8252	71.9173	10	4.8
1981-05-26	26:35.5	37.4595	72.3731	176	4.4
1981-06-10	03:55.6	37.2639	72.8555	83.6	4.7
1981-06-23	54:03.1	34.0732	74.5568	35	4.8
1981-06-28	24:45.1	37.3263	72.4365	176	4.3
1981-08-17	11:20.2	33.3732	75.5135	29.4	4.9
1981-08-29	50:45.9	37.1882	72.0024	200	4.3
1981-09-12	15:52.9	35.6793	73.681	13	6.2
1981-09-12	01:41.5	36.0019	73.3208	48	4.1
1981-09-12	11:56.1	35.5897	73.5737	37	4.4
1981-09-12	32:31.2	35.8954	73.6716	48	4.3
