LAT     ,LON      ,DEPTH,MAG,DATE      ,TIME       
34.9757,73.7413,21,5.4,10/8/2005,58:14.5
34.6564,73.3093,10.3,5.4,10/8/2005,08:41.8
34.5909,73.5588,8.6,5.4,10/8/2005,42:30.4
34.6535,73.3038,19.7,5.4,10/8/2005,45:11.4
34.5661,73.2888,16.9,5.4,10/9/2005,09:19.9
27.3625,88.3932,26.8,5.4,2/14/2006,55:24.1
29.9219,82.0962,14.4,5.4,12/8/2008,59:08.3
34.2492,73.8418,17.4,5.4,2/20/2009,48:49.5
27.3382,91.4513,18.4,5.4,12/31/2009,57:30.9
29.7925,90.317,13.1,5.4,11/30/2010,39:57.2
34.7052,73.2411,29.8,5.4,2/26/2015,59:04.9
27.7251,86.2083,12.6,5.4,5/12/2015,17:20.5
34.8981,73.679,27,5.4,10/1/2016,04:36.3
27.7097,86.5045,14.8,5.4,11/27/2016,35:20.8
27.653,92.7559,12.1,5.4,7/19/2019,54:23.9
29.5208,85.9256,35,5.3,11/9/1964,12:53.4
27.3269,87.6567,21,5.3,1/12/1965,55:20.3
28.4637,83.0358,35,5.3,6/1/1965,52:28.0
29.937,80.8036,35,5.3,6/27/1966,47:46.9
29.5704,80.8414,28.6,5.3,6/27/1966,21:44.0
32.724,79.664,28.4,5.3,8/5/1966,03:03.3
29.6499,80.7498,17,5.3,12/21/1966,10:59.9
37.303,72.5066,25.9,5.3,4/24/1967,51:11.5
30.6988,78.4608,28,5.3,8/17/1972,14:25.9
35.9545,73.386,63,5.3,9/4/1972,50:27.2
35.9119,73.3373,25.1,5.3,9/4/1972,23:50.5
35.976,73.3717,24.3,5.3,9/4/1972,51:21.7
35.9267,73.3612,29.4,5.3,10/12/1972,21:13.4
29.3013,81.2625,27,5.3,12/23/1974,45:41.8
32.9267,76.0629,30.6,5.3,1/7/1976,24:53.2
29.3234,81.5126,19.5,5.3,5/10/1976,43:53.9
28.0882,84.6532,12.9,5.3,2/10/1978,29:51.2
26.6592,87.4765,12.7,5.3,6/19/1979,29:11.7
31.8146,78.4748,17.7,5.3,5/28/1981,14:09.2
37.337,72.9558,12,5.3,9/29/1982,24:14.8
36.0632,71.9768,73.4,5.3,8/19/1985,37:40.5
28.2134,83.6581,29.4,5.3,1/19/1987,46:24.6
29.7819,90.369,19.3,5.3,9/25/1987,16:30.6
29.1234,90.0247,8.8,5.3,4/9/1989,31:38.0
36.8218,73.1529,20.5,5.3,3/6/1990,39:50.9
36.8319,73.014,11.3,5.3,3/25/1990,46:34.3
29.5162,89.7325,33,5.3,10/30/1997,02:53.8
30.2869,79.3333,17,5.3,3/28/1999,36:08.4
30.2994,79.288,25.6,5.3,3/30/1999,02:14.2
27.6411,92.6857,17.1,5.3,1/25/2000,43:22.2
28.8175,87.1612,22.3,5.3,4/28/2001,37:56.4
35.3441,74.7729,24.1,5.3,11/1/2002,09:29.2
